Index,Video Url,Video Title,Video Views,Video Likes,Video Comments,Video Author,Duration In Seconds
1,https://www.youtube.com/watch?v=mIi6EGG7YhE,Samosa Scam EXPOSED🔥🔥🔥,36922,3961,455,Technical Guruji,360
2,https://www.youtube.com/watch?v=hCC-zFwrRRY,iPhone 15 in India | Chandrayaan 3 Updates | Jio New Speed | WTF | Episode 56 | Technical Guruji🔥🔥🔥,127796,7715,413,Technical Guruji,664
3,https://www.youtube.com/watch?v=r_y9vk1L7KE,"How Semiconductors Are Manufactured - Exclusive Tour Of SCL, Mohali🔥🔥🔥",65586,5980,354,Technical Guruji,931
4,https://www.youtube.com/watch?v=MeeLwCwGPTE,The Best Party Machine - Sony SRS XV-800 Unboxing & First Look🔥🔥🔥,69364,4401,310,Technical Guruji,453
5,https://www.youtube.com/watch?v=M3LH52WurYQ,Galaxy Z Fold 5 Vs Z Flip 5 | Flip Or Fold?🔥🔥🔥,53565,3278,304,Technical Guruji,359
6,https://www.youtube.com/watch?v=N1eHHWBT--I,How India Is Winning The Semiconductor Race?🔥🔥🔥,62815,5185,417,Technical Guruji,467
7,https://www.youtube.com/watch?v=F54jX5hOees,Jai Hind 🇮🇳 #HarGharTiranga #IndependenceDay #TGFamily #Shorts🔥🔥🔥,82490,10656,216,Technical Guruji,28
8,https://www.youtube.com/watch?v=3O7G9v3EDPk,"Best TWS Experience Under 5,000? Oppo Enco Air 3 Pro🔥🔥🔥",67798,4030,310,Technical Guruji,379
9,https://www.youtube.com/watch?v=BmZq4Sb3pw8,Tecno POVA 5 Pro 5G Unboxing & First Look - Best Gaming Phone Under ₹15K🔥🔥🔥,111793,6669,472,Technical Guruji,438
10,https://www.youtube.com/watch?v=qeJwy66TpNk,Vertu Phone Unboxing | Smartphone Camera | iPhone 15 Features | STM #346 | Technical Guruji🔥🔥🔥,93765,4904,502,Technical Guruji,597
11,https://www.youtube.com/watch?v=4kTgjlSrueU,Instagram LIKE Scam EXPOSED🔥🔥🔥,106512,8979,627,Technical Guruji,365
