Index,Video Url,Video Title,Video Views,Video Likes,Video Comments,Video Author,Duration In Seconds
40,https://www.youtube.com/watch?v=jTWpZUm6PZw,"iQOO Z7 Pro First Look , 440MP Camera Phone? , iPhone 15 🇮🇳 , Infinix Curved Phone , Honor Tech ..",263374,26180,923,Technology Gyan,269
41,https://www.youtube.com/watch?v=I45X8zbRWh0,Tech Burner VS Technology Gyan I Youtuber's Comparison I #shorts I #techburner I #technologygyan,7238325,617277,2119,Anurag Aggarwal,60
42,https://www.youtube.com/watch?v=RPIcBan9TGw,new technology #ledtv #electronics,69164,1990,16,GreenTech2015,15
43,https://www.youtube.com/watch?v=49p7hMbCpys,Hidden SPY Cameras in Hotel : लोग नहीं जानते 😳😳 #shorts  #phone  #techmaster,33710837,2058578,3531,Tech Master Shorts,55
44,https://www.youtube.com/watch?v=JjHNToTj_Ho,5 Tech products that survived the Impossible.,43656430,3139941,12495,Mrwhosetheboss Shorts,60
45,https://www.youtube.com/watch?v=ICM9E3ocwmE,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,2203420,9065,341,TechZone,925
46,https://www.youtube.com/watch?v=MRbp1qqYOjc,iPhone Special trick 99% लोग नहीं जानते..#shorts,15862200,874192,1317,Tech Master Shorts,35
47,https://www.youtube.com/watch?v=aWg8nxBxPsY,"This ₹15,000 Phone is Different ! *Tecno POVA 5 Pro 5G*",855397,39650,944,Tech Burner,503
48,https://www.youtube.com/watch?v=ONT6F-pgT6I,இந்த மாறி கூட Cable இருக்கா🤯? #shorts  #viral #technology,774277,68446,225,Loud Oli Tech,43
49,https://www.youtube.com/watch?v=SebTRdDcUU0,Bloomberg Technology 08/14/2023,9553,151,16,Bloomberg Technology,2664
50,https://www.youtube.com/watch?v=lRElsjzAmcw,Linus Tech Tips Is Bleeding Subscribers,123785,5614,1017,ReviewTechUSA,353
51,https://www.youtube.com/watch?v=z7RgDylszHQ,TECHNOLOGY,705564,32003,5503,Sunny Jafry,607
52,https://www.youtube.com/watch?v=-Wk6vAhNZqY,3 Smartphone Gadgets Useful Vs Useless #shorts #gadgets,13736608,1071943,517,Tech FC Shorts,42
53,https://www.youtube.com/watch?v=aX-FXKc6lp4,Military Inventions and Technologies That Are On Another Level,2945484,13771,408,Quantum Tech HD,569
54,https://www.youtube.com/watch?v=baViJqLDK3c,Quantum Computing in AI (a NEW Era of Technology),132302,3422,553,AI Uncovered,825
